indice,arquivo,especie_id,especie,conjunto,status,erro_codigo,erro_mensagem,detectado,numero_contornos,dominancia,toca_borda,distancia_minima_borda_px,fracao_foreground,area_contorno_px2,area_mascara_px2,diferenca_area_pct,perimetro_px,elongacao,circularidade,solidez,extent,extent_rotacionado,razao_perimetro_hull,anisotropia,orientacao_confiavel,proporcao_verde,cat_alongamento,limitrofe_alongamento,margem_alongamento,cat_concavidade,limitrofe_concavidade,margem_concavidade,cat_compacidade,limitrofe_compacidade,margem_compacidade,cat_complexidade_borda,limitrofe_complexidade_borda,margem_complexidade_borda,cat_orientacao,limitrofe_orientacao,margem_orientacao,n_limitrofes,tempo_pipeline_ms,tempo_parede_ms,tempo_redimensionamento_ms,tempo_suavizacao_ms,tempo_segmentacao_ms,tempo_limpeza_ms,tempo_contornos_ms,tempo_caracteristicas_ms,tempo_classificacao_ms,n_avisos_tecnicos,avisos
0,1009.jpg,01,Phyllostachys edulis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,52,0.12026,93650.0,94576,-0.9791,2055.4499,6.119119,0.27855,0.936369,0.404382,0.655905,1.059846,0.94237,True,0.995327,extrema,True,0.019853,baixa,True,0.017792,baixa,False,0.303625,regular,False,0.062083,bem_definida,False,2.141233,2,246.676,287.066,23.795,2.148,51.176,85.795,21.562,61.566,0.136,1,"atributos proximos de um limiar: alongamento, concavidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
1,1023.jpg,01,Phyllostachys edulis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,46,0.119357,92914.0,93865,-1.0132,2347.3506,9.242159,0.211902,0.951651,0.176408,0.744808,1.070632,0.975348,True,0.994311,extrema,False,0.54036,baixa,True,0.034403,baixa,False,0.470245,regular,False,0.052538,bem_definida,False,2.25116,1,194.18,233.958,9.391,1.588,28.518,80.851,20.713,52.881,0.13,1,atributos proximos de um limiar: concavidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
2,1052.jpg,01,Phyllostachys edulis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,21,0.176598,137894.0,138882,-0.7114,2484.3111,7.040523,0.280765,0.981504,0.221711,0.736277,1.055657,0.953632,True,0.997494,extrema,False,0.173421,baixa,False,0.066852,baixa,False,0.298088,regular,False,0.06579,bem_definida,False,2.178773,0,200.725,242.203,5.426,1.438,27.768,77.045,20.702,68.183,0.092,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
3,1107.jpg,02,Aesculus chinensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,32,0.444159,348111.0,349301,-0.3407,2798.8409,2.477897,0.558433,0.972331,0.533361,0.665082,1.101206,0.693316,True,0.997876,moderada,False,0.174034,baixa,False,0.056882,moderada,False,0.140872,regular,True,0.025481,bem_definida,False,1.311053,1,254.537,291.414,5.28,1.464,27.897,77.566,20.543,121.599,0.113,1,atributos proximos de um limiar: complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
4,1109.jpg,02,Aesculus chinensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,89,0.269623,211119.5,212040,-0.4341,2178.2409,2.534991,0.559148,0.963556,0.524699,0.669839,1.09238,0.685297,True,0.997326,moderada,False,0.155003,baixa,True,0.047343,moderada,False,0.139772,regular,True,0.033292,bem_definida,False,1.284323,2,223.954,268.448,5.161,1.45,27.623,78.385,22.764,88.381,0.116,1,"atributos proximos de um limiar: concavidade, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
5,1112.jpg,02,Aesculus chinensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,21,0.426342,334108.5,335289,-0.3521,2755.4024,2.42852,0.553003,0.967659,0.531503,0.658278,1.10106,0.691357,True,0.997334,moderada,False,0.190493,baixa,False,0.051803,moderada,False,0.149226,regular,True,0.025611,bem_definida,False,1.304523,1,276.284,323.966,9.513,1.776,32.868,84.389,21.616,125.906,0.111,1,atributos proximos de um limiar: complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
6,1559.jpg,03,Berberis anhweiensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,59,0.189204,147980.5,148808,-0.5561,1877.918,2.957289,0.527304,0.97939,0.688269,0.719717,1.093448,0.777597,True,0.997668,moderada,True,0.014237,baixa,False,0.064554,moderada,False,0.188763,regular,True,0.032347,bem_definida,False,1.59199,2,209.231,249.914,7.985,1.466,28.346,79.797,20.317,71.125,0.111,1,"atributos proximos de um limiar: alongamento, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
7,1560.jpg,03,Berberis anhweiensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,51,0.202942,158676.0,159603,-0.5808,2094.7291,3.06302,0.454428,0.966367,0.659677,0.663896,1.137958,0.79493,True,0.997914,alta,True,0.021007,baixa,False,0.050399,moderada,False,0.13607,moderada,True,0.007042,bem_definida,False,1.649767,2,209.553,247.027,5.157,1.361,27.897,79.528,20.415,75.026,0.096,1,"atributos proximos de um limiar: alongamento, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
8,1587.jpg,03,Berberis anhweiensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,107,0.146712,114656.5,115380,-0.6271,1638.4377,2.82377,0.536721,0.974167,0.67824,0.682008,1.086046,0.768555,True,0.998561,moderada,False,0.058743,baixa,False,0.058877,moderada,False,0.174275,regular,True,0.038897,bem_definida,False,1.56185,1,193.35,230.27,5.336,1.411,27.655,77.995,20.088,60.687,0.108,1,atributos proximos de um limiar: complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
9,1125.jpg,04,Cercis chinensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,26,0.450598,353392.5,354391,-0.2818,2418.7404,1.009822,0.759082,0.95996,0.716146,0.753406,1.101093,0.081941,True,0.998894,baixa,False,0.326785,baixa,True,0.043435,alta,False,0.167818,regular,True,0.025581,pouco_definida,False,0.63882,2,263.586,311.585,5.185,1.415,27.72,79.082,21.106,128.872,0.125,1,"atributos proximos de um limiar: concavidade, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
