arquivo,dataset_origem,classe_original,uso,subconjunto,observacao
1009.jpg,flavia,01-Phyllostachys edulis,avaliacao,aval-v1,Bambu pubescente
1023.jpg,flavia,01-Phyllostachys edulis,avaliacao,aval-v1,Bambu pubescente
1052.jpg,flavia,01-Phyllostachys edulis,avaliacao,aval-v1,Bambu pubescente
1107.jpg,flavia,02-Aesculus chinensis,avaliacao,aval-v1,Castanha-da-india chinesa
1109.jpg,flavia,02-Aesculus chinensis,avaliacao,aval-v1,Castanha-da-india chinesa
1112.jpg,flavia,02-Aesculus chinensis,avaliacao,aval-v1,Castanha-da-india chinesa
1559.jpg,flavia,03-Berberis anhweiensis,avaliacao,aval-v1,Berberis de Anhui
1560.jpg,flavia,03-Berberis anhweiensis,avaliacao,aval-v1,Berberis de Anhui
1587.jpg,flavia,03-Berberis anhweiensis,avaliacao,aval-v1,Berberis de Anhui
1125.jpg,flavia,04-Cercis chinensis,avaliacao,aval-v1,Olaia chinesa
1163.jpg,flavia,04-Cercis chinensis,avaliacao,aval-v1,Olaia chinesa
1191.jpg,flavia,04-Cercis chinensis,avaliacao,aval-v1,Olaia chinesa
1195.jpg,flavia,05-Indigofera tinctoria,avaliacao,aval-v1,Anil verdadeiro
1199.jpg,flavia,05-Indigofera tinctoria,avaliacao,aval-v1,Anil verdadeiro
1258.jpg,flavia,05-Indigofera tinctoria,avaliacao,aval-v1,Anil verdadeiro
1269.jpg,flavia,06-Acer palmatum,avaliacao,aval-v1,Bordo japones
1282.jpg,flavia,06-Acer palmatum,avaliacao,aval-v1,Bordo japones
1302.jpg,flavia,06-Acer palmatum,avaliacao,aval-v1,Bordo japones
1334.jpg,flavia,07-Phoebe nanmu,avaliacao,aval-v1,Nanmu
1358.jpg,flavia,07-Phoebe nanmu,avaliacao,aval-v1,Nanmu
1359.jpg,flavia,07-Phoebe nanmu,avaliacao,aval-v1,Nanmu
1392.jpg,flavia,08-Kalopanax septemlobus,avaliacao,aval-v1,Aralia-de-mamona
1406.jpg,flavia,08-Kalopanax septemlobus,avaliacao,aval-v1,Aralia-de-mamona
1416.jpg,flavia,08-Kalopanax septemlobus,avaliacao,aval-v1,Aralia-de-mamona
1497.jpg,flavia,09-Cinnamomum japonicum,avaliacao,aval-v1,Canela chinesa
1502.jpg,flavia,09-Cinnamomum japonicum,avaliacao,aval-v1,Canela chinesa
1510.jpg,flavia,09-Cinnamomum japonicum,avaliacao,aval-v1,Canela chinesa
1443.jpg,flavia,10-Koelreuteria paniculata,avaliacao,aval-v1,Arvore-da-chuva-dourada
1447.jpg,flavia,10-Koelreuteria paniculata,avaliacao,aval-v1,Arvore-da-chuva-dourada
1490.jpg,flavia,10-Koelreuteria paniculata,avaliacao,aval-v1,Arvore-da-chuva-dourada
2001.jpg,flavia,11-Ilex macrocarpa,avaliacao,aval-v1,Azevinho de fruto grande
2017.jpg,flavia,11-Ilex macrocarpa,avaliacao,aval-v1,Azevinho de fruto grande
2024.jpg,flavia,11-Ilex macrocarpa,avaliacao,aval-v1,Azevinho de fruto grande
2091.jpg,flavia,12-Pittosporum tobira,avaliacao,aval-v1,Pitosporo japones
2094.jpg,flavia,12-Pittosporum tobira,avaliacao,aval-v1,Pitosporo japones
2108.jpg,flavia,12-Pittosporum tobira,avaliacao,aval-v1,Pitosporo japones
2128.jpg,flavia,14-Chimonanthus praecox,avaliacao,aval-v1,Jasmim-de-inverno
2158.jpg,flavia,14-Chimonanthus praecox,avaliacao,aval-v1,Jasmim-de-inverno
2162.jpg,flavia,14-Chimonanthus praecox,avaliacao,aval-v1,Jasmim-de-inverno
2176.jpg,flavia,15-Cinnamomum camphora,avaliacao,aval-v1,Canforeira
2189.jpg,flavia,15-Cinnamomum camphora,avaliacao,aval-v1,Canforeira
2194.jpg,flavia,15-Cinnamomum camphora,avaliacao,aval-v1,Canforeira
2278.jpg,flavia,16-Viburnum awabuki,avaliacao,aval-v1,Viburno japones
2280.jpg,flavia,16-Viburnum awabuki,avaliacao,aval-v1,Viburno japones
2286.jpg,flavia,16-Viburnum awabuki,avaliacao,aval-v1,Viburno japones
2302.jpg,flavia,17-Osmanthus fragrans,avaliacao,aval-v1,Osmanto perfumado
2326.jpg,flavia,17-Osmanthus fragrans,avaliacao,aval-v1,Osmanto perfumado
2327.jpg,flavia,17-Osmanthus fragrans,avaliacao,aval-v1,Osmanto perfumado
2353.jpg,flavia,18-Cedrus deodara,avaliacao,aval-v1,Cedro-do-himalaia
2370.jpg,flavia,18-Cedrus deodara,avaliacao,aval-v1,Cedro-do-himalaia
2417.jpg,flavia,18-Cedrus deodara,avaliacao,aval-v1,Cedro-do-himalaia
2458.jpg,flavia,19-Ginkgo biloba,avaliacao,aval-v1,Ginkgo
2460.jpg,flavia,19-Ginkgo biloba,avaliacao,aval-v1,Ginkgo
2479.jpg,flavia,19-Ginkgo biloba,avaliacao,aval-v1,Ginkgo
2488.jpg,flavia,20-Lagerstroemia indica,avaliacao,aval-v1,Resedá
2514.jpg,flavia,20-Lagerstroemia indica,avaliacao,aval-v1,Resedá
2537.jpg,flavia,20-Lagerstroemia indica,avaliacao,aval-v1,Resedá
2557.jpg,flavia,21-Nerium oleander,avaliacao,aval-v1,Espirradeira
2593.jpg,flavia,21-Nerium oleander,avaliacao,aval-v1,Espirradeira
2594.jpg,flavia,21-Nerium oleander,avaliacao,aval-v1,Espirradeira
2625.jpg,flavia,22-Podocarpus macrophyllus,avaliacao,aval-v1,Pinheiro-budista
2635.jpg,flavia,22-Podocarpus macrophyllus,avaliacao,aval-v1,Pinheiro-budista
2642.jpg,flavia,22-Podocarpus macrophyllus,avaliacao,aval-v1,Pinheiro-budista
3026.jpg,flavia,23-Prunus serrulata,avaliacao,aval-v1,Cerejeira japonesa
3049.jpg,flavia,23-Prunus serrulata,avaliacao,aval-v1,Cerejeira japonesa
3053.jpg,flavia,23-Prunus serrulata,avaliacao,aval-v1,Cerejeira japonesa
3061.jpg,flavia,24-Ligustrum lucidum,avaliacao,aval-v1,Alfeneiro
3091.jpg,flavia,24-Ligustrum lucidum,avaliacao,aval-v1,Alfeneiro
3109.jpg,flavia,24-Ligustrum lucidum,avaliacao,aval-v1,Alfeneiro
